match_date_time,garment_sku,location_id
2025-04-16 15:11:23,WOBR0R00S,R3G83-N-AT2
2025-04-16 15:11:27,WOBR0R00M,R3G83-N-AT3
2025-04-16 15:11:16,WOBR0R00L,R3G83-N-BT1
2025-04-16 14:45:56,WCCFH02XL,R3B79-N-BT2
2025-04-16 14:45:53,WCCFH00XL,R3B79-N-BT1
2025-04-16 14:46:10,WCCFH000S,R3B79-N-AT1
2025-04-16 14:46:07,WCCFH000M,R3B79-N-AT2
2025-04-16 14:46:03,WCCFH000L,R3B79-N-AT3
2025-04-16 14:29:01,WCCF7I2XL,R3B79-S-DT2
2025-04-16 14:29:04,WCCF7I0XL,R3B79-S-DT1
2025-04-16 14:29:08,WCCF7I00S,R3B79-S-CT1
2025-04-16 14:29:11,WCCF7I00M,R3B79-S-CT2
2025-04-16 14:29:15,WCCF7I00L,R3B79-S-CT3
2025-04-16 14:45:34,WCCF6H2XL,R3B79-N-DT2
2025-04-16 14:45:30,WCCF6H0XL,R3B79-N-DT1
2025-04-16 14:45:49,WCCF6H00S,R3B79-N-CT1
2025-04-16 14:45:45,WCCF6H00M,R3B79-N-CT2
2025-04-16 14:45:42,WCCF6H00L,R3B79-N-CT3
2025-04-16 14:46:39,WCCF1N2XL,R3C79-N-BT2
2025-04-16 14:46:36,WCCF1N0XL,R3C79-N-BT1
2025-04-16 14:46:53,WCCF1N00S,R3C79-N-AT1
2025-04-16 14:46:50,WCCF1N00M,R3C79-N-AT2
2025-04-16 14:46:46,WCCF1N00L,R3C79-N-AT3
2025-04-16 14:29:22,WCCF1B2XL,R3B79-S-BT2
2025-04-16 14:29:26,WCCF1B0XL,R3B79-S-BT1
2025-04-16 14:29:29,WCCF1B00S,R3B79-S-AT1
2025-04-16 14:29:33,WCCF1B00M,R3B79-S-AT2
2025-04-16 14:29:37,WCCF1B00L,R3B79-S-AT3
2025-04-16 10:22:37,UNTT5Z2XL,R3G51-N-BD2
2025-04-16 10:22:34,UNTT5Z0XS,R3G51-N-CD2
2025-04-16 10:22:40,UNTT5Z0XL,R3G51-N-BD1
2025-04-16 10:22:28,UNTT5Z00S,R3G51-N-DD1
2025-04-16 10:22:25,UNTT5Z00M,R3G51-N-DD2
2025-04-16 10:22:31,UNTT5Z00L,R3G51-N-CD1
2025-04-16 10:22:45,UNTT4W00M,R3G51-N-AD2
2025-04-16 10:22:43,UNTT1O00S,R3G51-N-AD1
2025-04-16 10:22:19,UNGLAI4XL,R3G51-S-AD1
2025-04-16 10:22:16,UNGLAI3XL,R3G51-S-BD2
2025-04-16 10:22:13,UNGLAI2XL,R3G51-S-BD1
2025-04-16 10:22:10,UNGLAI0XL,R3G51-S-CD2
2025-04-16 10:22:04,UNGLAI00S,R3G51-S-DD1
2025-04-16 10:22:01,UNGLAI00M,R3G51-S-DD2
2025-04-16 10:22:07,UNGLAI00L,R3G51-S-CD1
2025-04-16 13:48:53,UNCTXF4XL,R3G75-S-BT2
2025-04-16 13:49:03,UNCTXF3XL,R3G75-S-AT2
2025-04-16 13:51:37,UNCTXF2XL,R3D75-N-BT3
2025-04-16 13:51:47,UNCTXF0XS,R3D75-N-AT1
2025-04-16 13:51:40,UNCTXF0XL,R3D75-N-BT2
2025-04-16 13:51:51,UNCTXF00S,R3D75-N-AT2
2025-04-16 13:51:54,UNCTXF00M,R3D75-N-AT3
2025-04-16 13:51:44,UNCTXF00L,R3D75-N-BT1
